Entity,Code,Year,Period life expectancy at birth
Africa,,1960,41.3961
Africa,,1961,41.7756
Africa,,1962,42.2531
Africa,,1963,42.7175
Africa,,1964,43.0898
Africa,,1965,43.3551
Africa,,1966,43.4601
Africa,,1967,43.7471
Africa,,1968,44.2523
Africa,,1969,44.5077
Africa,,1970,44.9859
Africa,,1971,45.3999
Africa,,1972,45.4595
Africa,,1973,46.101
Africa,,1974,46.4118
Africa,,1975,46.807
Africa,,1976,47.5487
Africa,,1977,48.0406
Africa,,1978,48.4287
Africa,,1979,48.9562
Africa,,1980,49.4094
Africa,,1981,49.8226
Africa,,1982,50.2133
Africa,,1983,49.5464
Africa,,1984,49.7402
Africa,,1985,50.1332
Africa,,1986,50.5889
Africa,,1987,51.1887
Africa,,1988,51.0598
Africa,,1989,51.7063
Africa,,1990,51.6566
Africa,,1991,51.4937
Africa,,1992,51.4261
Africa,,1993,51.8296
Africa,,1994,49.9595
Africa,,1995,52.3426
Africa,,1996,52.3704
Africa,,1997,52.5837
Africa,,1998,52.3988
Africa,,1999,53.0619
Africa,,2000,53.667
Africa,,2001,54.006
Africa,,2002,54.3921
Africa,,2003,54.8416
Africa,,2004,55.3428
Africa,,2005,55.8494
Africa,,2006,56.4629
Africa,,2007,57.0818
Africa,,2008,57.6655
Africa,,2009,57.7517
Africa,,2010,58.7703
Africa,,2011,58.9598
Africa,,2012,59.8046
Africa,,2013,60.2673
Africa,,2014,60.4728
Africa,,2015,60.8437
Africa,,2016,61.2078
Africa,,2017,61.514
Africa,,2018,62.1674
Africa,,2019,62.449
Africa,,2020,62.2572
Africa,,2021,61.7866
Africa,,2022,62.9205
Africa,,2023,63.8428
Americas,,1960,60.7932
Americas,,1961,61.2684
Americas,,1962,61.4211
Americas,,1963,61.5399
Americas,,1964,61.9124
Americas,,1965,62.1123
Americas,,1966,62.3322
Americas,,1967,62.67
Americas,,1968,62.7056
Americas,,1969,63.0295
Americas,,1970,63.1495
Americas,,1971,63.8157
Americas,,1972,64.0001
Americas,,1973,64.3473
Americas,,1974,64.8219
Americas,,1975,65.4098
Americas,,1976,65.7058
Americas,,1977,66.2896
Americas,,1978,66.6343
Americas,,1979,67.0668
Americas,,1980,67.247
Americas,,1981,67.6911
Americas,,1982,68.0177
Americas,,1983,68.4306
Americas,,1984,68.7457
Americas,,1985,68.8882
Americas,,1986,69.3281
Americas,,1987,69.6289
Americas,,1988,69.8726
Americas,,1989,70.2467
Americas,,1990,70.5909
Americas,,1991,70.8608
Americas,,1992,71.146
Americas,,1993,71.251
Americas,,1994,71.5582
Americas,,1995,71.8289
Americas,,1996,72.1831
Americas,,1997,72.5468
Americas,,1998,72.7124
Americas,,1999,72.981
Americas,,2000,73.247
Americas,,2001,73.4795
Americas,,2002,73.758
Americas,,2003,74.0244
Americas,,2004,74.3916
Americas,,2005,74.6213
Americas,,2006,74.9224
Americas,,2007,75.1515
Americas,,2008,75.2986
Americas,,2009,75.5602
Americas,,2010,75.4472
Americas,,2011,75.9343
Americas,,2012,76.1301
Americas,,2013,76.2643
Americas,,2014,76.4082
Americas,,2015,76.472
Americas,,2016,76.4312
Americas,,2017,76.5049
Americas,,2018,76.6965
Americas,,2019,76.857
Americas,,2020,74.9717
Americas,,2021,73.8796
Americas,,2022,76.1444
Americas,,2023,77.2922
Asia,,1960,41.7925
Asia,,1961,45.2247
Asia,,1962,49.7055
Asia,,1963,50.4126
Asia,,1964,51.0484
Asia,,1965,50.6535
Asia,,1966,51.5076
Asia,,1967,52.2273
Asia,,1968,53.1207
Asia,,1969,53.7511
Asia,,1970,54.0354
Asia,,1971,53.4391
Asia,,1972,55.3185
Asia,,1973,55.9264
Asia,,1974,56.3798
Asia,,1975,56.6093
Asia,,1976,56.9165
Asia,,1977,57.6246
Asia,,1978,58.1127
Asia,,1979,58.9967
Asia,,1980,59.4646
Asia,,1981,59.9625
Asia,,1982,60.4664
Asia,,1983,60.9438
Asia,,1984,61.4058
Asia,,1985,61.8581
Asia,,1986,62.3815
Asia,,1987,62.8528
Asia,,1988,63.2107
Asia,,1989,63.6586
Asia,,1990,63.964
Asia,,1991,64.2319
Asia,,1992,64.7101
Asia,,1993,65.0765
Asia,,1994,65.3933
Asia,,1995,65.6984
Asia,,1996,66.0972
Asia,,1997,66.4603
Asia,,1998,66.8211
Asia,,1999,67.1659
Asia,,2000,67.6072
Asia,,2001,67.994
Asia,,2002,68.4026
Asia,,2003,68.7985
Asia,,2004,69.0323
Asia,,2005,69.497
Asia,,2006,69.9086
Asia,,2007,70.3012
Asia,,2008,70.5006
Asia,,2009,71.0089
Asia,,2010,71.3792
Asia,,2011,71.6838
Asia,,2012,72.042
Asia,,2013,72.3591
Asia,,2014,72.7056
Asia,,2015,72.9697
Asia,,2016,73.2724
Asia,,2017,73.4919
Asia,,2018,73.7937
Asia,,2019,74.0468
Asia,,2020,73.6064
Asia,,2021,72.3714
Asia,,2022,74.4278
Asia,,2023,74.5661
Europe,,1960,68.7123
Europe,,1961,69.171
Europe,,1962,69.1437
Europe,,1963,69.3934
Europe,,1964,70.0254
Europe,,1965,70.0373
Europe,,1966,70.2353
Europe,,1967,70.3162
